risk_type,latitude,longitude,integrated_score,integrated_level,summary,ground_risk_score,flood_risk_score,elevation_m,relative_depression_m,terrain_evidence_count,insar_displacement_abs,optical_component,surface_component,insar_component,detail
지반 약화,35.835715949559365,127.19854985411494,76.27824884487997,높음,"광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남, 광학영상 이상 점수가 높음, 해당 지점의 InSAR 변위값이 상대적으로 큼",76.27824884487997,0.0,,,,0.0736258327960968,25.072929577829584,11.877930936862056,25.0,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
지반 약화,35.84148344888417,127.19841941315778,73.51396723093735,높음,"광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남, 해당 지점의 InSAR 변위값이 상대적으로 큼",73.51396723093735,0.0,,,,0.0736258327960968,23.322657144984724,11.864077431675648,25.0,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
지반 약화,35.81787874924295,127.17842148087712,70.0,높음,광학영상 이상 후보가 적은 산지/비도심 구간을 보완하기 위해 InSAR 변위 래스터를 격자로 샘플링한 후보입니다.,70.0,0.0,,,,0.0549782030284404,0.0,0.0,25.0,"광학영상만으로는 산림·그늘·식생 때문에 표면 이상이 약하게 보일 수 있어, 위성 레이더 변위값을 직접 반영했습니다."
지반 약화,35.75176345084657,127.1003053630772,68.83043812451959,높음,광학영상 이상 후보가 적은 산지/비도심 구간을 보완하기 위해 InSAR 변위 래스터를 격자로 샘플링한 후보입니다.,68.83043812451959,0.0,,,,0.05482704564929,0.0,0.0,24.350243402510888,"광학영상만으로는 산림·그늘·식생 때문에 표면 이상이 약하게 보일 수 있어, 위성 레이더 변위값을 직접 반영했습니다."
저지대 침수,35.857752675335576,127.02959060668944,71.9143567281052,매우 높음,"고도 11.0m, 주변 평균보다 9.9m 낮음, 국지 고도차 3.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,71.9143567281052,11.0,9.94293975830078,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.87333337294744,127.08726882934567,70.31380878195021,매우 높음,"고도 10.0m, 주변 평균보다 5.4m 낮음, 국지 고도차 1.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,70.31380878195021,10.0,5.362882614135742,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.865543407034444,127.08726882934567,70.29156331352289,매우 높음,"고도 12.0m, 주변 평균보다 7.7m 낮음, 국지 고도차 3.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,70.29156331352289,12.0,7.674745559692383,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.87333337294744,127.1092414855957,69.90768997500285,매우 높음,"고도 13.0m, 주변 평균보다 6.3m 낮음, 국지 고도차 2.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,69.90768997500285,13.0,6.284463882446289,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.87333337294744,127.01997756958008,68.45548778634179,높음,"고도 7.0m, 주변 평균보다 2.2m 낮음, 국지 고도차 1.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,68.45548778634179,7.0,2.196584701538086,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.88112257300586,127.0488166809082,68.44240892758468,높음,"고도 8.0m, 주변 평균보다 3.2m 낮음, 국지 고도차 2.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,68.44240892758468,8.0,3.168680191040039,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
